crop,location,experiment_type,SLA,LAIinit,LAIcrit,LAIafterHarvest,LUEmax,TempBase,id
Rye grass,"UK, Crossnacreevy",Irrigated (potential),0.0025,0.1,4.0,0.8,3.0,3.0,1
Rye grass,"UK, Crossnacreevy",Rainfed (water-limited),0.0025,0.1,4.0,0.8,3.0,3.0,2
Rye grass,"Eire, Grange",Rainfed (water-limited),0.0025,0.1,4.0,0.8,3.0,3.0,3
Rye grass,"Eire, Moorepark",Rainfed (water-limited),0.0025,0.1,4.0,0.8,3.0,3.0,4
Rye grass,"Switzerland, Changins",Irrigated (potential),0.0025,0.1,4.0,0.5,2.4,5.0,5
Rye grass,"Switzerland, Changins",Rainfed (water-limited),0.0025,0.1,4.0,0.5,2.4,5.0,6
Rye grass,"Switzerland, Changins",Irrigated (potential),0.0025,0.1,4.0,0.5,2.4,5.0,7
Rye grass,"Switzerland, Changins",Rainfed (water-limited),0.0025,0.1,4.0,0.5,2.4,5.0,8
Rye grass,"Switzerland, Changins",Irrigated (potential),0.0025,0.1,4.0,0.5,2.4,5.0,9
Rye grass,"Switzerland, Changins",Rainfed (water-limited),0.0025,0.1,4.0,0.5,2.4,5.0,10
Rye grass,"UK, MacRobert",Rainfed (water-limited),0.0025,0.1,4.0,0.8,3.0,3.0,11
Rye grass,"UK, MacRobert",Rainfed (water-limited),0.0025,0.1,4.0,0.8,3.0,3.0,12
Rye grass,"UK, MacRobert",Rainfed (water-limited),0.0025,0.1,4.0,0.8,3.0,3.0,13
Rye grass,"UK, MacRobert",Rainfed (water-limited),0.0025,0.1,4.0,0.8,3.0,3.0,14
Rye grass,"France, Bourg-Lastic",Rainfed (water-limited),0.0025,0.1,4.0,0.5,2.4,5.0,15
Rye grass,"France, Bourg-Lastic",Rainfed (water-limited),0.0025,0.1,4.0,0.5,2.4,5.0,16
Rye grass,"France, Bourg-Lastic",Rainfed (water-limited),0.0025,0.1,4.0,0.5,2.4,5.0,17
Rye grass,"France, Bourg-Lastic",Rainfed (water-limited),0.0025,0.1,4.0,0.5,2.4,5.0,18
Rye grass,"France, Rennes",Irrigated (potential),0.0025,0.1,4.0,0.5,2.4,5.0,19
Rye grass,"France, Rennes",Rainfed (water-limited),0.0025,0.1,4.0,0.5,2.4,5.0,20
