plotID,Exploratory,Latitude,Longitude
AEG01,ALB,48.4,9.34
AEG02,ALB,48.38,9.47
AEG03,ALB,48.41,9.53
AEG04,ALB,48.38,9.42
AEG05,ALB,48.4,9.44
AEG06,ALB,48.4,9.44
AEG07,ALB,48.39,9.38
AEG08,ALB,48.42,9.49
AEG09,ALB,48.39,9.5
AEG10,ALB,48.38,9.21
AEG11,ALB,48.49,9.35
AEG12,ALB,48.39,9.35
AEG13,ALB,48.39,9.36
AEG14,ALB,48.38,9.52
AEG15,ALB,48.49,9.45
AEG16,ALB,48.4,9.46
AEG17,ALB,48.4,9.52
AEG18,ALB,48.38,9.52
AEG19,ALB,48.4,9.45
AEG20,ALB,48.49,9.36
AEG21,ALB,48.44,9.36
AEG22,ALB,48.4,9.51
AEG23,ALB,48.42,9.51
AEG24,ALB,48.4,9.49
AEG25,ALB,48.4,9.26
AEG26,ALB,48.4,9.4
AEG27,ALB,48.42,9.48
AEG28,ALB,48.46,9.49
AEG29,ALB,48.42,9.36
AEG30,ALB,48.46,9.46
AEG31,ALB,48.46,9.46
AEG32,ALB,48.47,9.49
AEG33,ALB,48.45,9.49
AEG34,ALB,48.46,9.5
AEG35,ALB,48.48,9.29
AEG36,ALB,48.48,9.3
AEG37,ALB,48.4,9.41
AEG38,ALB,48.44,9.43
AEG39,ALB,48.39,9.43
AEG40,ALB,48.41,9.57
AEG41,ALB,48.37,9.4
AEG42,ALB,48.4,9.38
AEG43,ALB,48.41,9.54
AEG44,ALB,48.38,9.43
AEG45,ALB,48.4,9.46
AEG46,ALB,48.4,9.43
AEG47,ALB,48.42,9.45
AEG48,ALB,48.42,9.5
AEG49,ALB,48.46,9.5
AEG50,ALB,48.41,9.47
HEG01,HAI,50.97,10.41
HEG02,HAI,51.0,10.43
HEG03,HAI,51.0,10.43
HEG04,HAI,51.11,10.44
HEG05,HAI,51.22,10.32
HEG06,HAI,51.21,10.39
HEG07,HAI,51.27,10.41
HEG08,HAI,51.27,10.42
HEG09,HAI,51.22,10.38
HEG10,HAI,51.28,10.45
HEG11,HAI,51.28,10.46
HEG12,HAI,51.08,10.58
HEG13,HAI,51.26,10.38
HEG14,HAI,51.29,10.44
HEG15,HAI,51.07,10.49
HEG16,HAI,51.03,10.46
HEG17,HAI,51.07,10.47
HEG18,HAI,51.28,10.42
HEG19,HAI,51.07,10.47
HEG20,HAI,51.22,10.37
HEG21,HAI,51.19,10.75
HEG22,HAI,51.03,10.32
HEG23,HAI,51.13,10.34
HEG24,HAI,51.1,10.35
HEG25,HAI,51.02,10.32
HEG26,HAI,51.28,10.37
HEG27,HAI,51.09,10.6
HEG28,HAI,51.27,10.5
HEG29,HAI,51.26,10.5
HEG30,HAI,51.2,10.36
HEG31,HAI,51.17,10.22
HEG32,HAI,51.08,10.57
HEG33,HAI,51.11,10.43
HEG34,HAI,51.21,10.39
HEG35,HAI,51.22,10.41
HEG36,HAI,51.03,10.51
HEG37,HAI,51.03,10.51
HEG38,HAI,51.12,10.34
HEG39,HAI,51.12,10.35
HEG40,HAI,50.97,10.45
HEG41,HAI,51.22,10.37
HEG42,HAI,51.07,10.46
HEG43,HAI,51.3,10.44
HEG44,HAI,51.06,10.48
HEG45,HAI,51.04,10.51
HEG46,HAI,51.21,10.75
HEG47,HAI,51.28,10.37
HEG48,HAI,51.29,10.38
HEG49,HAI,51.28,10.39
HEG50,HAI,51.28,10.42
SEG01,SCH,53.09,13.97
SEG02,SCH,53.09,13.98
SEG03,SCH,53.1,13.99
SEG04,SCH,53.11,14.0
SEG05,SCH,53.11,14.0
SEG06,SCH,53.1,13.62
SEG07,SCH,53.09,13.98
SEG08,SCH,53.11,14.02
SEG09,SCH,53.1,13.61
SEG10,SCH,53.11,14.0
SEG11,SCH,53.11,13.99
SEG12,SCH,53.09,13.97
SEG13,SCH,52.97,13.82
SEG14,SCH,53.09,13.98
SEG15,SCH,53.11,14.01
SEG16,SCH,53.12,14.0
SEG17,SCH,53.1,13.63
SEG18,SCH,53.14,13.88
SEG19,SCH,53.12,14.01
SEG20,SCH,53.1,13.62
SEG21,SCH,53.11,13.61
SEG22,SCH,53.1,13.97
SEG23,SCH,53.11,14.03
SEG24,SCH,53.09,14.0
SEG25,SCH,53.11,13.62
SEG26,SCH,53.11,14.02
SEG27,SCH,53.12,13.71
SEG28,SCH,53.09,14.01
SEG29,SCH,53.09,14.0
SEG30,SCH,53.15,13.83
SEG31,SCH,53.15,13.84
SEG32,SCH,53.15,13.83
SEG33,SCH,52.99,13.84
SEG34,SCH,52.98,13.85
SEG35,SCH,52.98,13.85
SEG36,SCH,52.99,13.84
SEG37,SCH,53.13,13.88
SEG38,SCH,53.12,13.68
SEG39,SCH,52.98,13.82
SEG40,SCH,53.12,13.84
SEG41,SCH,53.12,13.85
SEG42,SCH,52.87,13.97
SEG43,SCH,52.88,13.97
SEG44,SCH,52.88,13.97
SEG45,SCH,52.88,13.96
SEG46,SCH,52.98,13.83
SEG47,SCH,52.99,13.83
SEG48,SCH,53.1,13.61
SEG49,SCH,52.97,13.86
SEG50,SCH,53.12,13.75
