explo,date,temperature,precipitation,dwd_stations_id
SCH,2006-01-01,1.6,0.0,164
SCH,2006-01-02,-0.4,0.0,164
SCH,2006-01-03,0.8,0.0,164
SCH,2006-01-04,0.1,0.0,164
SCH,2006-01-05,-0.2,0.0,164
SCH,2006-01-06,-1.9,0.0,164
SCH,2006-01-07,-3.0,0.0,164
SCH,2006-01-08,-6.1,0.0,164
SCH,2006-01-09,-6.9,0.0,164
SCH,2006-01-10,-5.2,0.0,164
SCH,2006-01-11,-1.8,1.2,164
SCH,2006-01-12,1.8,0.0,164
SCH,2006-01-13,-0.7,0.0,164
SCH,2006-01-14,-3.1,0.0,164
SCH,2006-01-15,-5.7,0.0,164
SCH,2006-01-16,-6.2,0.0,164
SCH,2006-01-17,-4.7,1.5,164
SCH,2006-01-18,-3.6,0.1,164
SCH,2006-01-19,-4.0,0.9,164
SCH,2006-01-20,-4.3,6.6,164
SCH,2006-01-21,-1.3,0.0,164
SCH,2006-01-22,-13.7,0.0,164
SCH,2006-01-23,-16.4,0.0,164
SCH,2006-01-24,-14.2,0.0,164
SCH,2006-01-25,-6.6,0.0,164
SCH,2006-01-26,-10.1,0.0,164
SCH,2006-01-27,-12.9,0.0,164
SCH,2006-01-28,-9.2,0.0,164
SCH,2006-01-29,-4.2,0.0,164
SCH,2006-01-30,-0.5,0.0,164
SCH,2006-01-31,0.5,0.0,164
SCH,2006-02-01,-1.4,0.0,164
SCH,2006-02-02,0.0,0.0,164
SCH,2006-02-03,0.2,0.1,164
SCH,2006-02-04,-2.9,0.0,164
SCH,2006-02-05,-7.3,0.0,164
SCH,2006-02-06,-7.0,7.7,164
SCH,2006-02-07,3.0,2.5,164
SCH,2006-02-08,3.0,6.3,164
SCH,2006-02-09,1.2,3.5,164
SCH,2006-02-10,0.1,0.1,164
SCH,2006-02-11,-0.7,1.1,164
SCH,2006-02-12,-2.5,0.0,164
SCH,2006-02-13,-0.5,0.3,164
SCH,2006-02-14,-0.7,0.0,164
SCH,2006-02-15,-0.3,1.0,164
SCH,2006-02-16,1.6,2.9,164
SCH,2006-02-17,2.0,2.8,164
SCH,2006-02-18,3.9,0.5,164
SCH,2006-02-19,2.9,0.1,164
SCH,2006-02-20,1.6,0.0,164
SCH,2006-02-21,0.9,0.0,164
SCH,2006-02-22,-0.1,0.0,164
SCH,2006-02-23,-1.3,0.0,164
