year,plotID,TotalMowing,CutHeight_cm1,CutHeight_cm2,CutHeight_cm3,CutHeight_cm4,CutHeight_cm5,MowingDay1,MowingDay2,MowingDay3,MowingDay4,MowingDay5
2006,AEG01,2,7.5,7.5,,,,152,212,,,
2006,AEG10,1,7.5,,,,,196,,,,
2006,AEG11,2,7.5,7.5,,,,181,243,,,
2006,AEG12,2,7.5,7.5,,,,152,212,,,
2006,AEG13,2,7.5,7.5,,,,152,212,,,
2006,AEG14,2,7.5,7.5,,,,135,196,,,
2006,AEG15,3,7.5,7.5,7.5,,,140,196,232,,
2006,AEG16,1,7.5,,,,,166,,,,
2006,AEG17,3,7.5,7.5,7.5,,,151,196,258,,
2006,AEG18,3,7.5,7.5,7.5,,,135,196,258,,
2006,AEG19,1,7.5,,,,,152,,,,
2006,AEG02,3,7.5,7.5,7.5,,,135,182,258,,
2006,AEG20,0,,,,,,,,,,
2006,AEG21,0,,,,,,,,,,
2006,AEG22,1,7.5,,,,,182,,,,
2006,AEG23,2,7.5,7.5,,,,152,227,,,
2006,AEG24,2,7.5,7.5,,,,151,212,,,
2006,AEG25,0,,,,,,,,,,
2006,AEG26,0,,,,,,,,,,
2006,AEG27,0,,,,,,,,,,
2006,AEG28,0,,,,,,,,,,
2006,AEG29,1,7.5,,,,,166,,,,
2006,AEG03,2,7.5,7.5,,,,152,243,,,
2006,AEG30,0,,,,,,,,,,
2006,AEG31,0,,,,,,,,,,
2006,AEG32,0,,,,,,,,,,
2006,AEG33,0,,,,,,,,,,
2006,AEG34,0,,,,,,,,,,
2006,AEG35,2,7.5,7.5,,,,181,258,,,
2006,AEG36,2,7.5,7.5,,,,181,243,,,
2006,AEG37,2,7.5,7.5,,,,152,212,,,
2006,AEG38,2,7.5,7.5,,,,166,244,,,
2006,AEG39,2,7.5,7.5,,,,152,212,,,
2006,AEG04,1,7.5,,,,,182,,,,
2006,AEG40,2,7.5,7.5,,,,140,227,,,
2006,AEG41,3,7.5,7.5,7.5,,,138,276,303,,
2006,AEG42,1,7.5,,,,,121,,,,
2006,AEG43,1,7.5,,,,,152,,,,
2006,AEG44,0,,,,,,,,,,
2006,AEG45,2,7.5,7.5,,,,166,243,,,
2006,AEG46,0,,,,,,,,,,
2006,AEG47,0,,,,,,,,,,
2006,AEG48,0,,,,,,,,,,
2006,AEG49,0,,,,,,,,,,
2006,AEG05,1,7.5,,,,,152,,,,
2006,AEG50,2,7.5,7.5,,,,227,304,,,
2006,AEG06,1,7.5,,,,,152,,,,
2006,AEG07,0,,,,,,,,,,
2006,AEG08,1,,,,,,,,,,
2006,AEG09,0,,,,,,,,,,
2006,HEG01,2,7.5,7.5,,,,149,188,,,
2006,HEG10,1,7.5,,,,,181,,,,
2006,HEG11,1,7.5,,,,,181,,,,
2006,HEG12,1,7.5,,,,,169,,,,
2006,HEG13,3,7.5,,7.5,,,144,,244,,
2006,HEG14,1,7.5,,,,,181,,,,
2006,HEG15,1,7.5,,,,,152,,,,
2006,HEG16,0,,,,,,,,,,
2006,HEG17,1,,,,,,,,,,
2006,HEG18,0,,,,,,,,,,
2006,HEG19,1,,,,,,,,,,
2006,HEG02,3,7.5,,7.5,,,158,,255,,
2006,HEG20,0,,,,,,,,,,
2006,HEG21,0,,,,,,,,,,
2006,HEG22,2,7.5,,,,,167,,,,
2006,HEG23,2,7.5,,,,,187,,,,
2006,HEG24,3,7.5,,,,,153,,,,
2006,HEG25,1,,,,,,,,,,
2006,HEG26,1,7.5,,,,,181,,,,
2006,HEG27,1,7.5,,,,,182,,,,
2006,HEG28,1,7.5,,,,,170,,,,
2006,HEG29,1,7.5,,,,,170,,,,
2006,HEG03,3,7.5,,7.5,,,158,,255,,
2006,HEG30,3,7.5,7.5,,,,157,255,,,
2006,HEG31,3,7.5,7.5,,,,165,251,,,
2006,HEG32,1,7.5,,,,,169,,,,
2006,HEG33,0,,,,,,,,,,
2006,HEG34,2,7.5,,,,,158,,,,
