date,year,explo,PAR
2006-01-01,2006,HAI,9060
2006-01-01,2006,ALB,7213
2006-01-01,2006,SCH,1629
2006-01-02,2006,HAI,9176
2006-01-02,2006,ALB,7945
2006-01-02,2006,SCH,3726
2006-01-03,2006,HAI,5983
2006-01-03,2006,ALB,9779
2006-01-03,2006,SCH,4117
2006-01-04,2006,HAI,5538
2006-01-04,2006,ALB,8185
2006-01-04,2006,SCH,9187
2006-01-05,2006,HAI,2386
2006-01-05,2006,ALB,5457
2006-01-05,2006,SCH,3235
2006-01-06,2006,HAI,1797
2006-01-06,2006,ALB,7534
2006-01-06,2006,SCH,3450
2006-01-07,2006,HAI,2869
2006-01-07,2006,ALB,14191
2006-01-07,2006,SCH,2781
2006-01-08,2006,HAI,8659
2006-01-08,2006,ALB,15839
2006-01-08,2006,SCH,15764
2006-01-09,2006,HAI,10738
2006-01-09,2006,ALB,14720
2006-01-09,2006,SCH,16548
2006-01-10,2006,HAI,10918
2006-01-10,2006,ALB,16155
2006-01-10,2006,SCH,9242
2006-01-11,2006,HAI,20094
2006-01-11,2006,ALB,22893
2006-01-11,2006,SCH,17336
2006-01-12,2006,HAI,9139
2006-01-12,2006,ALB,12154
2006-01-12,2006,SCH,6175
2006-01-13,2006,HAI,12776
2006-01-13,2006,ALB,18392
2006-01-13,2006,SCH,3544
2006-01-14,2006,HAI,21537
2006-01-14,2006,ALB,21654
2006-01-14,2006,SCH,9187
2006-01-15,2006,HAI,14035
2006-01-15,2006,ALB,17246
2006-01-15,2006,SCH,20712
2006-01-16,2006,HAI,20465
2006-01-16,2006,ALB,23979
2006-01-16,2006,SCH,20823
2006-01-17,2006,HAI,5806
2006-01-17,2006,ALB,5603
2006-01-17,2006,SCH,21679
2006-01-18,2006,HAI,10302
2006-01-18,2006,ALB,7638
2006-01-18,2006,SCH,3540
2006-01-19,2006,HAI,9083
2006-01-19,2006,ALB,21442
2006-01-19,2006,SCH,3372
2006-01-20,2006,HAI,6992
2006-01-20,2006,ALB,16216
2006-01-20,2006,SCH,3921
2006-01-21,2006,HAI,5151
2006-01-21,2006,ALB,10496
2006-01-21,2006,SCH,7340
2006-01-22,2006,HAI,12575
2006-01-22,2006,ALB,5591
2006-01-22,2006,SCH,19847
2006-01-23,2006,HAI,30099
2006-01-23,2006,ALB,26704
2006-01-23,2006,SCH,13905
