plotID,totalN
AEG01,9.15
AEG02,8.31
AEG03,6.07
AEG04,5.34
AEG05,9.39
AEG06,8.55
AEG07,4.91
AEG08,8.4
AEG09,6.3
AEG10,9.42
AEG11,6.27
AEG12,7.01
AEG13,7.1
AEG14,6.38
AEG15,6.72
AEG16,6.44
AEG17,6.5
AEG18,6.95
AEG19,8.13
AEG20,9.2
AEG21,7.23
AEG22,4.99
AEG23,8.54
AEG24,7.82
AEG25,7.6
AEG26,5.96
AEG27,8.51
AEG28,5.07
AEG29,5.53
AEG30,6.86
AEG31,7.24
AEG32,4.08
AEG33,4.78
AEG34,4.84
AEG35,4.37
AEG36,5.54
AEG37,7.0
AEG38,5.45
AEG39,6.75
AEG40,7.52
AEG41,4.88
AEG42,8.95
AEG43,8.58
AEG44,7.27
AEG45,6.09
AEG46,7.65
AEG47,5.75
AEG48,3.5
AEG49,5.12
AEG50,7.18
HEG01,5.29
HEG02,4.17
HEG03,3.5
HEG04,5.8
HEG05,4.33
HEG06,2.2
HEG07,5.49
HEG08,5.73
HEG09,3.78
HEG10,4.06
HEG11,5.22
HEG12,6.94
HEG13,3.88
HEG14,3.82
HEG15,5.41
HEG16,6.3
HEG17,4.74
HEG18,4.29
HEG19,5.76
HEG20,2.47
HEG21,3.42
HEG22,4.91
HEG23,4.6
HEG24,5.13
HEG25,5.74
HEG26,4.66
HEG27,4.22
HEG28,3.53
HEG29,3.15
HEG30,4.11
HEG31,4.32
HEG32,3.68
HEG33,3.73
HEG34,3.47
HEG35,4.9
HEG36,5.6
HEG37,5.46
HEG38,3.08
HEG39,3.82
HEG40,5.44
HEG41,3.68
HEG42,4.03
HEG43,4.22
HEG44,7.97
HEG45,4.29
HEG46,2.66
HEG47,5.55
HEG48,4.22
HEG49,4.81
HEG50,4.32
SEG01,20.29
SEG02,13.9
SEG03,9.37
SEG04,15.02
SEG05,12.04
SEG06,24.79
SEG07,11.53
SEG08,8.12
SEG09,19.37
SEG10,15.75
SEG11,12.71
SEG12,11.52
SEG13,2.7
SEG14,11.15
SEG15,14.46
SEG16,14.7
SEG17,30.63
SEG18,1.25
SEG19,8.1
SEG20,24.13
SEG21,21.86
SEG22,6.73
SEG23,22.99
SEG24,21.77
SEG25,18.51
SEG26,26.2
SEG27,26.82
SEG28,15.04
SEG29,13.54
SEG30,2.85
SEG31,2.54
SEG32,2.2
SEG33,1.84
SEG34,1.81
SEG35,2.25
SEG36,2.31
SEG37,1.26
SEG38,1.88
SEG39,1.88
SEG40,3.2
SEG41,2.21
SEG42,2.19
SEG43,2.31
SEG44,2.19
SEG45,1.89
SEG46,3.18
SEG47,2.33
SEG48,1.7
SEG49,2.07
SEG50,2.03
