plotID,explo,clay,silt,sand,organic,bulk,rootdepth
AEG01,A,64.3,32.4,3.3,9.06,0.63,80.0
AEG02,A,51.2,41.1,7.7,7.56,0.71,80.0
AEG03,A,67.2,29.8,3.0,6.15,0.79,80.0
AEG04,A,48.8,42.7,8.5,4.62,0.97,70.0
AEG05,A,36.5,51.8,11.7,9.47,0.66,100.0
AEG06,A,58.8,38.0,3.2,8.78,0.75,90.0
AEG07,A,38.5,42.7,18.8,5.42,0.91,60.0
AEG08,A,67.3,31.9,0.8,9.21,0.68,40.0
AEG09,A,55.6,41.7,2.7,7.41,0.61,50.0
AEG10,A,64.7,32.7,2.6,9.89,0.59,70.0
AEG11,A,64.3,32.7,3.0,6.49,0.7,70.0
AEG12,A,43.6,51.2,5.2,7.14,0.86,70.0
AEG13,A,64.3,31.1,4.6,7.24,0.76,70.0
AEG14,A,52.1,45.3,2.6,6.42,0.85,70.0
AEG15,A,64.2,34.0,1.8,6.76,0.68,70.0
AEG16,A,52.8,44.9,2.3,6.29,0.89,70.0
AEG17,A,61.8,36.5,1.7,6.78,0.79,70.0
AEG18,A,64.9,33.2,1.9,6.59,0.7,70.0
AEG19,A,63.7,32.7,3.6,8.22,0.71,70.0
AEG20,A,59.7,33.4,6.9,8.53,0.6,70.0
AEG21,A,58.7,39.1,2.2,7.04,0.89,70.0
AEG22,A,70.8,27.0,2.2,5.43,0.72,70.0
AEG23,A,56.6,38.7,4.7,8.38,0.62,70.0
AEG24,A,63.8,32.9,3.3,8.47,0.61,70.0
AEG25,A,46.3,40.6,13.1,8.66,0.6,70.0
AEG26,A,67.9,24.1,8.0,7.33,0.75,70.0
AEG27,A,57.6,41.0,1.4,9.41,0.55,70.0
AEG28,A,59.9,38.5,1.6,5.65,0.81,70.0
AEG29,A,56.6,34.3,9.1,5.56,0.84,70.0
AEG30,A,55.6,37.5,6.9,6.73,0.8,70.0
AEG31,A,59.5,38.1,2.4,7.4,0.72,70.0
AEG32,A,46.1,46.6,7.3,4.35,0.79,70.0
