plotID,supplementary_feeding
AEG01,false
AEG02,false
AEG03,false
AEG04,false
AEG05,true
AEG06,true
AEG07,false
AEG08,false
AEG09,false
AEG10,false
AEG11,false
AEG12,false
AEG13,false
AEG14,false
AEG15,false
AEG16,true
AEG17,false
AEG18,false
AEG19,true
AEG20,true
AEG21,true
AEG22,false
AEG23,false
AEG24,false
AEG25,false
AEG26,true
AEG27,false
AEG28,false
AEG29,true
AEG30,false
AEG31,false
AEG32,false
AEG33,false
AEG34,false
AEG35,false
AEG36,false
AEG37,false
AEG38,false
AEG39,false
AEG40,false
AEG41,false
AEG42,false
AEG43,true
AEG44,false
AEG45,true
AEG46,true
AEG47,false
AEG48,false
AEG49,false
AEG50,false
HEG01,true
HEG02,false
HEG03,false
HEG04,false
HEG05,true
HEG06,true
HEG07,true
HEG08,true
HEG09,true
HEG10,true
HEG11,true
HEG12,true
HEG13,false
HEG14,true
HEG15,true
HEG16,true
HEG17,false
HEG18,true
HEG19,false
HEG20,false
HEG21,false
HEG22,false
HEG23,false
HEG24,false
HEG25,false
HEG26,false
HEG27,false
HEG28,false
HEG29,false
HEG30,false
HEG31,false
HEG32,true
HEG33,false
HEG34,true
HEG35,true
HEG36,false
HEG37,true
HEG38,true
HEG39,false
HEG40,false
HEG41,false
HEG42,false
HEG43,true
HEG44,false
HEG45,false
HEG46,true
HEG47,true
HEG48,true
HEG49,true
HEG50,true
SEG01,false
SEG02,true
SEG03,true
SEG04,true
SEG05,false
SEG06,true
SEG07,true
SEG08,true
SEG09,true
SEG10,true
SEG11,true
SEG12,false
SEG13,true
SEG14,true
SEG15,false
SEG16,false
SEG17,true
SEG18,false
SEG19,true
SEG20,true
SEG21,true
SEG22,true
SEG23,false
SEG24,false
SEG25,false
SEG26,false
SEG27,true
SEG28,false
SEG29,true
SEG30,false
SEG31,false
SEG32,false
SEG33,true
SEG34,true
SEG35,true
SEG36,true
SEG37,true
SEG38,true
SEG39,true
SEG40,true
SEG41,true
SEG42,true
SEG43,true
SEG44,true
SEG45,true
SEG46,true
SEG47,true
SEG48,true
SEG49,true
SEG50,true
