species,srsa,amc,abp,bbp,sla,height,lnc
Achillea millefolium,0.154,0.48,0.61,0.39,0.008,0.4,23
Agrostis capillaris,0.225,0.44,0.61,0.39,0.017,0.25,22
Allium schoenoprasum,0.165,0.64,0.56,0.44,0.003,0.32,28
Alopecurus pratensis,0.175,0.17,0.57,0.43,0.013,0.45,21
Anthoxanthum odoratum,0.206,0.11,0.59,0.41,0.015,0.16,22
Arctium lappa,0.056,0.42,0.38,0.62,0.003,1.08,35
Arenaria serpyllifolia,0.286,0.03,0.75,0.25,0.003,0.13,10
Arrhenatherum elatius,0.14,0.08,0.55,0.45,0.014,1.35,29
Bellis perennis,0.282,0.42,0.63,0.37,0.018,0.06,22
Brachypodium pinnatum,0.132,0.35,0.54,0.46,0.013,0.55,18
Bromus erectus,0.129,0.16,0.51,0.49,0.007,0.5,19
Bromus hordeaceus,0.155,0.13,0.56,0.44,0.014,0.06,21
Cardamine pratensis,0.267,0.05,0.65,0.35,0.009,0.28,25
Carex vulpina,0.16,0.02,0.59,0.41,0.003,0.7,22
Cota tinctoria,0.187,0.38,0.61,0.39,0.002,0.38,19
Dactylis glomerata,0.214,0.08,0.63,0.37,0.014,0.45,24
Daucus carota,0.197,0.43,0.68,0.32,0.008,0.41,38
Deschampsia cespitosa,0.181,0.53,0.66,0.34,0.007,0.25,19
Dipsacus fullonum,0.144,0.46,0.72,0.28,0.002,1.0,13
Draba verna,0.297,0.05,0.68,0.32,0.002,0.02,3
Epilobium hirsutum,0.232,0.46,0.78,0.22,0.004,1.15,32
Festuca ovina,0.171,0.16,0.6,0.4,0.011,0.31,14
Festuca ovina,0.214,0.06,0.7,0.3,0.011,0.31,14
Festuca rubra,0.178,0.07,0.66,0.34,0.009,0.45,16
Galium album,0.211,0.2,0.62,0.38,0.004,0.88,21
Galium verum,0.182,0.26,0.65,0.35,0.009,0.42,20
Genista tinctoria,0.139,0.64,0.64,0.36,0.008,0.45,31
Geum urbanum,0.148,0.66,0.73,0.27,0.002,0.4,21
Helictochloa pratensis,0.136,0.2,0.56,0.44,0.002,0.65,16
Helictotrichon pubescens,0.129,0.14,0.57,0.43,0.012,0.6,20
Holcus lanatus,0.211,0.16,0.55,0.45,0.016,0.32,23
Hylotelephium telephium,0.166,0.49,0.76,0.24,0.002,0.45,22
Hypericum perforatum,0.219,0.26,0.51,0.49,0.014,0.42,22
Hypochaeris radicata,0.201,0.54,0.58,0.42,0.012,0.06,16
Koeleria macrantha,0.188,0.16,0.61,0.39,0.002,0.06,18
Koeleria pyramidata,0.15,0.25,0.58,0.42,0.002,0.32,22
Leontodon hispidus,0.21,0.51,0.6,0.4,0.012,0.24,23
Leucanthemum vulgare,0.239,0.58,0.66,0.34,0.011,0.36,22
Lolium perenne,0.178,0.07,0.56,0.44,0.011,0.12,23
Lotus corniculatus,0.198,0.25,0.64,0.36,0.013,0.22,37
Medicago falcata,0.118,0.41,0.67,0.33,0.003,0.5,28
Ononis spinosa,0.133,0.16,0.59,0.41,0.012,0.45,41
Phalaris arundinacea,0.161,0.37,0.58,0.42,0.013,1.45,22
Phleum pratense,0.2,0.16,0.65,0.35,0.011,0.37,23
Phragmites australis,0.16,0.24,0.69,0.31,0.007,2.5,23
Pilosella officinarum,0.226,0.58,0.66,0.34,0.011,0.06,17
Plantago lanceolata,0.176,0.28,0.55,0.45,0.011,0.15,19
Plantago major,0.203,0.21,0.64,0.36,0.009,0.37,30
Poa angustifolia,0.205,0.11,0.59,0.41,0.001,0.36,14
Poa annua,0.246,0.09,0.61,0.39,0.032,0.08,38
Poa pratensis,0.226,0.09,0.67,0.33,0.014,0.3,18
Poa trivialis,0.236,0.03,0.55,0.45,0.018,0.3,27
Prunella grandiflora,0.209,0.36,0.66,0.34,0.004,0.13,20
Prunella vulgaris,0.223,0.34,0.63,0.37,0.003,0.14,22
Rumex acetosa,0.13,0.16,0.54,0.46,0.015,0.48,33
Rumex acetosella,0.235,0.07,0.71,0.29,0.004,0.2,26
Salvia pratensis,0.136,0.36,0.58,0.42,0.011,0.38,31
Sanguisorba minor,0.118,0.6,0.64,0.36,0.007,0.2,22
Scolochloa festucacea,0.148,0.14,0.63,0.37,0.01,0.6,25
Scorzoneroides autumnalis,0.178,0.45,0.52,0.48,0.013,0.05,21
Silene dioica,0.148,0.01,0.67,0.33,0.003,0.59,35
Silene vulgaris,0.063,0.01,0.46,0.54,0.002,0.26,31
Sinapis alba,0.26,0.14,0.81,0.19,0.002,0.36,48
Thlaspi arvense,0.379,0.06,0.82,0.18,0.001,0.25,40
Tragopogon pratensis,0.121,0.45,0.44,0.56,0.01,0.38,25
Trifolium arvense,0.22,0.41,0.72,0.28,0.004,0.15,27
Trifolium campestre,0.193,0.52,0.68,0.32,0.016,0.29,38
Trifolium dubium,0.232,0.66,0.67,0.33,0.018,0.22,36
Trifolium pratense,0.13,0.39,0.69,0.31,0.015,0.28,37
Trifolium repens,0.164,0.47,0.74,0.26,0.017,0.35,41
Tripleurospermum inodorum,0.301,0.31,0.7,0.3,0.002,0.5,16
Vicia cracca,0.15,0.73,0.53,0.47,0.015,0.75,43
