explo,date,year,doy,PET
SCH,2006-01-01,2006,1,0.1
ALB,2006-01-01,2006,1,0.2
SCH,2006-01-02,2006,2,0.0
ALB,2006-01-02,2006,2,0.2
SCH,2006-01-03,2006,3,0.1
ALB,2006-01-03,2006,3,0.0
SCH,2006-01-04,2006,4,0.1
ALB,2006-01-04,2006,4,0.0
SCH,2006-01-05,2006,5,0.1
ALB,2006-01-05,2006,5,0.0
SCH,2006-01-06,2006,6,0.0
ALB,2006-01-06,2006,6,0.0
SCH,2006-01-07,2006,7,0.0
ALB,2006-01-07,2006,7,0.0
SCH,2006-01-08,2006,8,0.0
ALB,2006-01-08,2006,8,0.0
SCH,2006-01-09,2006,9,0.0
ALB,2006-01-09,2006,9,0.0
SCH,2006-01-10,2006,10,0.0
ALB,2006-01-10,2006,10,0.0
SCH,2006-01-11,2006,11,0.4
ALB,2006-01-11,2006,11,0.0
SCH,2006-01-12,2006,12,0.1
ALB,2006-01-12,2006,12,0.3
SCH,2006-01-13,2006,13,0.0
ALB,2006-01-13,2006,13,0.0
SCH,2006-01-14,2006,14,0.0
ALB,2006-01-14,2006,14,0.2
SCH,2006-01-15,2006,15,0.0
ALB,2006-01-15,2006,15,0.0
SCH,2006-01-16,2006,16,0.0
ALB,2006-01-16,2006,16,0.3
SCH,2006-01-17,2006,17,0.0
ALB,2006-01-17,2006,17,0.2
SCH,2006-01-18,2006,18,0.0
ALB,2006-01-18,2006,18,0.5
SCH,2006-01-19,2006,19,0.0
ALB,2006-01-19,2006,19,0.4
SCH,2006-01-20,2006,20,0.0
ALB,2006-01-20,2006,20,0.0
SCH,2006-01-21,2006,21,0.1
ALB,2006-01-21,2006,21,0.7
SCH,2006-01-22,2006,22,0.0
ALB,2006-01-22,2006,22,0.0
SCH,2006-01-23,2006,23,0.0
ALB,2006-01-23,2006,23,0.0
SCH,2006-01-24,2006,24,0.0
ALB,2006-01-24,2006,24,0.0
SCH,2006-01-25,2006,25,0.0
ALB,2006-01-25,2006,25,0.0
SCH,2006-01-26,2006,26,0.0
ALB,2006-01-26,2006,26,0.0
SCH,2006-01-27,2006,27,0.0
ALB,2006-01-27,2006,27,0.0
SCH,2006-01-28,2006,28,0.0
ALB,2006-01-28,2006,28,0.1
SCH,2006-01-29,2006,29,0.0
ALB,2006-01-29,2006,29,0.5
SCH,2006-01-30,2006,30,0.1
ALB,2006-01-30,2006,30,0.4
SCH,2006-01-31,2006,31,0.3
ALB,2006-01-31,2006,31,0.8
SCH,2006-02-01,2006,32,0.0
ALB,2006-02-01,2006,32,0.6
SCH,2006-02-02,2006,33,0.3
ALB,2006-02-02,2006,33,0.6
SCH,2006-02-03,2006,34,0.2
ALB,2006-02-03,2006,34,0.6
SCH,2006-02-04,2006,35,0.0
ALB,2006-02-04,2006,35,0.0
SCH,2006-02-05,2006,36,0.0
ALB,2006-02-05,2006,36,0.0
SCH,2006-02-06,2006,37,0.0
ALB,2006-02-06,2006,37,0.0
SCH,2006-02-07,2006,38,0.3
ALB,2006-02-07,2006,38,0.3
SCH,2006-02-08,2006,39,0.3
ALB,2006-02-08,2006,39,0.2
SCH,2006-02-09,2006,40,0.8
ALB,2006-02-09,2006,40,0.1
SCH,2006-02-10,2006,41,0.2
ALB,2006-02-10,2006,41,0.0
SCH,2006-02-11,2006,42,0.1
ALB,2006-02-11,2006,42,0.0
SCH,2006-02-12,2006,43,0.1
ALB,2006-02-12,2006,43,0.0
SCH,2006-02-13,2006,44,0.0
ALB,2006-02-13,2006,44,0.0
SCH,2006-02-14,2006,45,0.5
ALB,2006-02-14,2006,45,0.3
SCH,2006-02-15,2006,46,0.2
ALB,2006-02-15,2006,46,0.3
SCH,2006-02-16,2006,47,0.2
ALB,2006-02-16,2006,47,1.0
SCH,2006-02-17,2006,48,0.2
ALB,2006-02-17,2006,48,0.7
SCH,2006-02-18,2006,49,0.7
ALB,2006-02-18,2006,49,1.0
SCH,2006-02-19,2006,50,0.2
ALB,2006-02-19,2006,50,0.9
SCH,2006-02-20,2006,51,0.2
ALB,2006-02-20,2006,51,0.6
SCH,2006-02-21,2006,52,0.3
ALB,2006-02-21,2006,52,0.8
SCH,2006-02-22,2006,53,0.4
ALB,2006-02-22,2006,53,0.1
SCH,2006-02-23,2006,54,0.5
ALB,2006-02-23,2006,54,0.0
SCH,2006-02-24,2006,55,0.8
ALB,2006-02-24,2006,55,0.2
SCH,2006-02-25,2006,56,0.0
ALB,2006-02-25,2006,56,0.0
SCH,2006-02-26,2006,57,0.6
ALB,2006-02-26,2006,57,0.0
SCH,2006-02-27,2006,58,0.2
ALB,2006-02-27,2006,58,0.0
SCH,2006-02-28,2006,59,0.2
ALB,2006-02-28,2006,59,0.0
SCH,2006-03-01,2006,60,0.7
ALB,2006-03-01,2006,60,0.0
SCH,2006-03-02,2006,61,0.3
ALB,2006-03-02,2006,61,0.0
SCH,2006-03-03,2006,62,0.6
ALB,2006-03-03,2006,62,0.8
SCH,2006-03-04,2006,63,0.5
ALB,2006-03-04,2006,63,0.0
SCH,2006-03-05,2006,64,0.5
ALB,2006-03-05,2006,64,0.0
SCH,2006-03-06,2006,65,0.0
ALB,2006-03-06,2006,65,0.0
SCH,2006-03-07,2006,66,0.1
ALB,2006-03-07,2006,66,0.0
SCH,2006-03-08,2006,67,0.1
ALB,2006-03-08,2006,67,0.1
SCH,2006-03-09,2006,68,0.2
ALB,2006-03-09,2006,68,1.1
SCH,2006-03-10,2006,69,0.0
ALB,2006-03-10,2006,69,1.0
SCH,2006-03-11,2006,70,0.0
ALB,2006-03-11,2006,70,0.5
SCH,2006-03-12,2006,71,0.0
ALB,2006-03-12,2006,71,0.0
SCH,2006-03-13,2006,72,0.0
ALB,2006-03-13,2006,72,0.0
SCH,2006-03-14,2006,73,0.1
ALB,2006-03-14,2006,73,0.0
SCH,2006-03-15,2006,74,0.3
ALB,2006-03-15,2006,74,0.0
SCH,2006-03-16,2006,75,0.7
ALB,2006-03-16,2006,75,0.0
SCH,2006-03-17,2006,76,0.3
ALB,2006-03-17,2006,76,0.0
SCH,2006-03-18,2006,77,0.0
ALB,2006-03-18,2006,77,0.9
SCH,2006-03-19,2006,78,0.2
ALB,2006-03-19,2006,78,1.3
SCH,2006-03-20,2006,79,0.4
ALB,2006-03-20,2006,79,1.9
SCH,2006-03-21,2006,80,0.9
ALB,2006-03-21,2006,80,1.3
SCH,2006-03-22,2006,81,1.2
ALB,2006-03-22,2006,81,0.4
SCH,2006-03-23,2006,82,1.1
ALB,2006-03-23,2006,82,0.4
SCH,2006-03-24,2006,83,1.9
ALB,2006-03-24,2006,83,0.4
SCH,2006-03-25,2006,84,0.5
ALB,2006-03-25,2006,84,1.2
SCH,2006-03-26,2006,85,0.4
ALB,2006-03-26,2006,85,1.5
SCH,2006-03-27,2006,86,0.6
ALB,2006-03-27,2006,86,2.6
SCH,2006-03-28,2006,87,2.2
ALB,2006-03-28,2006,87,0.8
SCH,2006-03-29,2006,88,1.2
ALB,2006-03-29,2006,88,1.2
SCH,2006-03-30,2006,89,1.2
ALB,2006-03-30,2006,89,0.7
SCH,2006-03-31,2006,90,1.7
ALB,2006-03-31,2006,90,2.3
SCH,2006-04-01,2006,91,1.5
ALB,2006-04-01,2006,91,1.5
SCH,2006-04-02,2006,92,2.3
ALB,2006-04-02,2006,92,1.3
SCH,2006-04-03,2006,93,1.5
ALB,2006-04-03,2006,93,1.6
SCH,2006-04-04,2006,94,0.9
ALB,2006-04-04,2006,94,1.5
SCH,2006-04-05,2006,95,1.3
ALB,2006-04-05,2006,95,0.1
SCH,2006-04-06,2006,96,1.7
ALB,2006-04-06,2006,96,1.4
SCH,2006-04-07,2006,97,1.9
ALB,2006-04-07,2006,97,2.0
SCH,2006-04-08,2006,98,3.1
ALB,2006-04-08,2006,98,2.7
SCH,2006-04-09,2006,99,2.6
ALB,2006-04-09,2006,99,0.9
SCH,2006-04-10,2006,100,1.1
ALB,2006-04-10,2006,100,0.6
SCH,2006-04-11,2006,101,0.8
ALB,2006-04-11,2006,101,0.9
SCH,2006-04-12,2006,102,0.9
ALB,2006-04-12,2006,102,0.6
SCH,2006-04-13,2006,103,1.2
ALB,2006-04-13,2006,103,0.6
SCH,2006-04-14,2006,104,1.8
ALB,2006-04-14,2006,104,1.0
SCH,2006-04-15,2006,105,2.3
ALB,2006-04-15,2006,105,1.5
SCH,2006-04-16,2006,106,0.9
ALB,2006-04-16,2006,106,2.1
SCH,2006-04-17,2006,107,2.0
ALB,2006-04-17,2006,107,1.2
SCH,2006-04-18,2006,108,2.7
ALB,2006-04-18,2006,108,1.4
SCH,2006-04-19,2006,109,2.5
ALB,2006-04-19,2006,109,1.9
SCH,2006-04-20,2006,110,2.8
ALB,2006-04-20,2006,110,2.5
SCH,2006-04-21,2006,111,2.0
ALB,2006-04-21,2006,111,3.3
SCH,2006-04-22,2006,112,1.8
ALB,2006-04-22,2006,112,2.5
SCH,2006-04-23,2006,113,1.5
ALB,2006-04-23,2006,113,3.0
SCH,2006-04-24,2006,114,1.1
ALB,2006-04-24,2006,114,4.2
SCH,2006-04-25,2006,115,2.8
ALB,2006-04-25,2006,115,1.7
SCH,2006-04-26,2006,116,3.4
ALB,2006-04-26,2006,116,1.8
SCH,2006-04-27,2006,117,0.9
ALB,2006-04-27,2006,117,1.0
SCH,2006-04-28,2006,118,2.9
ALB,2006-04-28,2006,118,1.0
SCH,2006-04-29,2006,119,1.8
ALB,2006-04-29,2006,119,1.6
SCH,2006-04-30,2006,120,1.6
ALB,2006-04-30,2006,120,2.0
SCH,2006-05-01,2006,121,2.3
ALB,2006-05-01,2006,121,2.3
SCH,2006-05-02,2006,122,1.9
ALB,2006-05-02,2006,122,3.5
SCH,2006-05-03,2006,123,3.9
ALB,2006-05-03,2006,123,4.4
SCH,2006-05-04,2006,124,4.9
ALB,2006-05-04,2006,124,4.2
SCH,2006-05-05,2006,125,5.2
ALB,2006-05-05,2006,125,3.5
SCH,2006-05-06,2006,126,4.6
ALB,2006-05-06,2006,126,3.6
SCH,2006-05-07,2006,127,4.8
ALB,2006-05-07,2006,127,4.2
SCH,2006-05-08,2006,128,4.4
ALB,2006-05-08,2006,128,3.9
SCH,2006-05-09,2006,129,5.3
ALB,2006-05-09,2006,129,1.4
SCH,2006-05-10,2006,130,5.2
ALB,2006-05-10,2006,130,2.2
SCH,2006-05-11,2006,131,3.3
ALB,2006-05-11,2006,131,4.2
SCH,2006-05-12,2006,132,4.2
ALB,2006-05-12,2006,132,4.0
SCH,2006-05-13,2006,133,3.4
ALB,2006-05-13,2006,133,2.8
SCH,2006-05-14,2006,134,2.7
ALB,2006-05-14,2006,134,2.5
SCH,2006-05-15,2006,135,3.3
ALB,2006-05-15,2006,135,3.3
SCH,2006-05-16,2006,136,2.8
ALB,2006-05-16,2006,136,2.1
SCH,2006-05-17,2006,137,1.2
ALB,2006-05-17,2006,137,4.2
SCH,2006-05-18,2006,138,1.3
ALB,2006-05-18,2006,138,1.6
SCH,2006-05-19,2006,139,2.5
ALB,2006-05-19,2006,139,3.4
SCH,2006-05-20,2006,140,3.4
ALB,2006-05-20,2006,140,2.9
SCH,2006-05-21,2006,141,2.0
ALB,2006-05-21,2006,141,2.3
SCH,2006-05-22,2006,142,3.1
ALB,2006-05-22,2006,142,3.5
SCH,2006-05-23,2006,143,3.3
ALB,2006-05-23,2006,143,2.8
SCH,2006-05-24,2006,144,3.6
ALB,2006-05-24,2006,144,3.1
SCH,2006-05-25,2006,145,2.0
ALB,2006-05-25,2006,145,1.9
SCH,2006-05-26,2006,146,3.2
ALB,2006-05-26,2006,146,2.3
SCH,2006-05-27,2006,147,1.3
ALB,2006-05-27,2006,147,2.9
SCH,2006-05-28,2006,148,3.4
ALB,2006-05-28,2006,148,3.4
SCH,2006-05-29,2006,149,2.5
ALB,2006-05-29,2006,149,1.3
SCH,2006-05-30,2006,150,1.8
ALB,2006-05-30,2006,150,2.0
SCH,2006-05-31,2006,151,2.2
ALB,2006-05-31,2006,151,1.5
SCH,2006-06-01,2006,152,2.1
ALB,2006-06-01,2006,152,1.4
SCH,2006-06-02,2006,153,3.1
ALB,2006-06-02,2006,153,1.5
SCH,2006-06-03,2006,154,1.5
ALB,2006-06-03,2006,154,2.2
SCH,2006-06-04,2006,155,2.3
ALB,2006-06-04,2006,155,1.7
SCH,2006-06-05,2006,156,1.7
ALB,2006-06-05,2006,156,1.7
SCH,2006-06-06,2006,157,2.3
ALB,2006-06-06,2006,157,2.2
SCH,2006-06-07,2006,158,3.1
ALB,2006-06-07,2006,158,2.6
SCH,2006-06-08,2006,159,4.1
ALB,2006-06-08,2006,159,3.4
SCH,2006-06-09,2006,160,4.2
ALB,2006-06-09,2006,160,4.2
SCH,2006-06-10,2006,161,4.0
ALB,2006-06-10,2006,161,4.2
SCH,2006-06-11,2006,162,4.1
ALB,2006-06-11,2006,162,5.1
SCH,2006-06-12,2006,163,4.6
ALB,2006-06-12,2006,163,5.3
SCH,2006-06-13,2006,164,5.1
ALB,2006-06-13,2006,164,5.4
SCH,2006-06-14,2006,165,5.8
ALB,2006-06-14,2006,165,5.1
SCH,2006-06-15,2006,166,4.4
ALB,2006-06-15,2006,166,4.6
SCH,2006-06-16,2006,167,2.8
ALB,2006-06-16,2006,167,4.0
SCH,2006-06-17,2006,168,1.8
ALB,2006-06-17,2006,168,3.2
SCH,2006-06-18,2006,169,2.7
ALB,2006-06-18,2006,169,4.6
SCH,2006-06-19,2006,170,5.5
ALB,2006-06-19,2006,170,3.7
SCH,2006-06-20,2006,171,3.8
ALB,2006-06-20,2006,171,3.8
SCH,2006-06-21,2006,172,5.1
ALB,2006-06-21,2006,172,4.0
SCH,2006-06-22,2006,173,4.9
ALB,2006-06-22,2006,173,2.2
SCH,2006-06-23,2006,174,3.7
ALB,2006-06-23,2006,174,2.5
SCH,2006-06-24,2006,175,4.6
ALB,2006-06-24,2006,175,4.8
SCH,2006-06-25,2006,176,6.5
ALB,2006-06-25,2006,176,5.0
SCH,2006-06-26,2006,177,5.8
ALB,2006-06-26,2006,177,3.8
SCH,2006-06-27,2006,178,5.3
ALB,2006-06-27,2006,178,3.8
SCH,2006-06-28,2006,179,3.5
ALB,2006-06-28,2006,179,3.3
SCH,2006-06-29,2006,180,3.7
ALB,2006-06-29,2006,180,2.5
SCH,2006-06-30,2006,181,2.0
ALB,2006-06-30,2006,181,3.4
SCH,2006-07-01,2006,182,5.5
ALB,2006-07-01,2006,182,4.3
SCH,2006-07-02,2006,183,6.5
ALB,2006-07-02,2006,183,4.5
SCH,2006-07-03,2006,184,6.9
ALB,2006-07-03,2006,184,4.4
SCH,2006-07-04,2006,185,6.6
ALB,2006-07-04,2006,185,5.1
SCH,2006-07-05,2006,186,7.5
ALB,2006-07-05,2006,186,4.8
SCH,2006-07-06,2006,187,6.2
ALB,2006-07-06,2006,187,4.3
SCH,2006-07-07,2006,188,4.5
ALB,2006-07-07,2006,188,1.4
SCH,2006-07-08,2006,189,2.9
ALB,2006-07-08,2006,189,2.3
SCH,2006-07-09,2006,190,4.8
