year,plotID,TotalGrazing,StartGrazingPeriod1,StartGrazingPeriod2,StartGrazingPeriod3,StartGrazingPeriod4,DayGrazing1,DayGrazing2,DayGrazing3,DayGrazing4,GrazingIntensity1,GrazingIntensity2,GrazingIntensity3,GrazingIntensity4
2006,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2007,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2008,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2009,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2010,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2011,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2012,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2013,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2014,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2015,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2016,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2017,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2018,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2019,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2020,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2021,AEG01,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2006,AEG10,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2007,AEG10,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2008,AEG10,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2009,AEG10,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2010,AEG10,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2011,AEG10,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2012,AEG10,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2013,AEG10,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2014,AEG10,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2015,AEG10,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2016,AEG10,19.3705,306,,,,1,0,0,0,19.37,NaN,NaN,NaN
2017,AEG10,19.3705,306,,,,1,0,0,0,19.37,NaN,NaN,NaN
2018,AEG10,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2019,AEG10,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2020,AEG10,7.0218,245,,,,1,0,0,0,7.022,NaN,NaN,NaN
2021,AEG10,8.4746,245,,,,10,0,0,0,0.847,NaN,NaN,NaN
2006,AEG11,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2007,AEG11,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2008,AEG11,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2009,AEG11,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2010,AEG11,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2011,AEG11,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2012,AEG11,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2013,AEG11,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2014,AEG11,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2015,AEG11,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2016,AEG11,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2017,AEG11,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
2018,AEG11,0.0,,,,,0,0,0,0,NaN,NaN,NaN,NaN
